func,year,min,max,median,mean,sd,min,max,median,mean,sd
mean_doc_inflow_g,all,1,33030,1670,4968,6731,0.0,33.0,1.7,5.0,6.7
mean_doc_fc_inflow_g,all,0,28852,104,1699,3544,0.0,28.9,0.1,1.7,3.5
mean_doc_inflow_g_comb,all,1,59003,1815,6667,10076,0.0,59.0,1.8,6.7,10.1
mean_doc_hypo_outflow_g,all,1,39418,2022,5529,7776,0.0,39.4,2.0,5.5,7.8
mean_doc_dt_hypo_g,all,-592307,583548,210,1446,64306,-592.3,583.5,0.2,1.4,64.3
mean_doc_entr_g,all,-578460,531774,0,-982,62929,-578.5,531.8,0.0,-1.0,62.9
mean_doc_dt_epi_g,all,-531838,531057,642,21,73591,-531.8,531.1,0.6,0.0,73.6
mean_doc_epi_outflow_g,all,2,92402,3608,8819,12059,0.0,92.4,3.6,8.8,12.1
mean_doc_epi_process_g,all,-130109,254094,3045,3009,35658,-130.1,254.1,3.0,3.0,35.7
mean_doc_epi_process_mgL,all,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
mean_doc_hypo_process_g,all,-70092,74080,246,611,10551,-70.1,74.1,0.2,0.6,10.6
mean_doc_hypo_process_mgL,all,-15,39,0,0,2,0.0,0.0,0.0,0.0,0.0
mean_doc_inflow_g,2017,1,31778,64,3310,5898,0.0,31.8,0.1,3.3,5.9
mean_doc_fc_inflow_g,2017,0,21335,0,1062,2730,0.0,21.3,0.0,1.1,2.7
mean_doc_inflow_g_comb,2017,1,53113,64,4373,8463,0.0,53.1,0.1,4.4,8.5
mean_doc_hypo_outflow_g,2017,1,34959,113,3596,6544,0.0,35.0,0.1,3.6,6.5
mean_doc_dt_hypo_g,2017,-410865,191346,173,-241,57179,-410.9,191.3,0.2,-0.2,57.2
mean_doc_entr_g,2017,-190736,423656,0,1009,56510,-190.7,423.7,0.0,1.0,56.5
mean_doc_dt_epi_g,2017,-196043,461399,810,3724,64521,-196.0,461.4,0.8,3.7,64.5
mean_doc_epi_outflow_g,2017,2,50823,171,4842,8971,0.0,50.8,0.2,4.8,9.0
mean_doc_epi_process_g,2017,-74009,68342,4514,3110,26291,-74.0,68.3,4.5,3.1,26.3
mean_doc_epi_process_mgL,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mean_doc_hypo_process_g,2017,-35247,41619,141,843,8378,-35.2,41.6,0.1,0.8,8.4
mean_doc_hypo_process_mgL,2017,-15,3,0,0,1,0.0,0.0,0.0,0.0,0.0
mean_doc_inflow_g,2018,2,33030,2026,5606,7502,0.0,33.0,2.0,5.6,7.5
mean_doc_fc_inflow_g,2018,0,28852,132,1950,3760,0.0,28.9,0.1,1.9,3.8
mean_doc_inflow_g_comb,2018,2,57633,2295,7556,10971,0.0,57.6,2.3,7.6,11.0
mean_doc_hypo_outflow_g,2018,8,39418,2750,7505,9485,0.0,39.4,2.8,7.5,9.5
mean_doc_dt_hypo_g,2018,-293899,305334,244,2827,66748,-293.9,305.3,0.2,2.8,66.7
mean_doc_entr_g,2018,-305777,278503,0,-2736,65217,-305.8,278.5,0.0,-2.7,65.2
mean_doc_dt_epi_g,2018,-392579,268918,711,-2383,72409,-392.6,268.9,0.7,-2.4,72.4
mean_doc_epi_outflow_g,2018,12,92402,4131,12787,18166,0.0,92.4,4.1,12.8,18.2
mean_doc_epi_process_g,2018,-103643,87385,6437,5090,30251,-103.6,87.4,6.4,5.1,30.3
mean_doc_epi_process_mgL,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mean_doc_hypo_process_g,2018,-50574,48510,819,586,7922,-50.6,48.5,0.8,0.6,7.9
mean_doc_hypo_process_mgL,2018,-4,39,0,1,4,0.0,0.0,0.0,0.0,0.0
mean_doc_inflow_g,2019,318,23429,1420,3583,4386,0.3,23.4,1.4,3.6,4.4
mean_doc_fc_inflow_g,2019,8,14194,92,845,1886,0.0,14.2,0.1,0.8,1.9
