"","datetime","thermo.depth"
"1",2013-03-07,NA
"2",2013-04-04,3.75726394241034
"3",2013-04-11,1.64072289086714
"4",2013-04-18,1.81820760047936
"5",2013-04-25,2.43597011659391
"6",2013-04-30,2.88321947498421
"7",2013-05-02,3.31233472001074
"8",2013-05-09,3.72401217583388
"9",2013-05-14,3.81400732162008
"10",2013-05-15,2.9676679044828
"11",2013-05-16,2.9235545992581
"12",2013-05-21,4.0101793039079
"13",2013-05-23,3.45247446970087
"14",2013-05-30,1.97820987749375
"15",2013-06-04,2.55338588922553
"16",2013-06-06,1.92474611205377
"17",2013-06-13,3.53621001999604
"18",2013-06-20,2.70012819676618
"19",2013-06-25,2.79696940299402
"20",2013-06-27,1.98435679220752
"21",2013-07-03,2.99056455396413
"22",2013-07-11,6.29336664371692
"23",2013-07-15,4.29857058924695
"24",2013-07-18,5.83909204467047
"25",2013-07-22,3.68195657629566
"26",2013-07-25,3.54567661888677
"27",2013-07-29,5.04406930289514
"28",2013-08-01,3.41606137636899
"29",2013-08-05,NA
"30",2013-08-08,3.69734400787164
"31",2013-08-12,6.80801988116104
"32",2013-08-15,NA
"33",2013-08-28,3.1987249703081
"34",2013-09-18,3.49898168053253
"35",2013-09-25,3.79165951073762
"36",2013-10-16,4.46344615114082
"37",2013-10-22,4.75
"38",2013-10-23,4.74677808786876
"39",2013-10-30,NA
"40",2013-11-06,NA
"41",2013-11-20,NA
"42",2013-12-04,NA
"43",2014-03-20,NA
"44",2014-04-10,NA
"45",2014-04-24,NA
"46",2014-05-05,3.2032737262721
"47",2014-05-06,4.25214533100481
"48",2014-05-07,5.10263760422644
"49",2014-05-08,5.10053848326717
"50",2014-05-09,3.71587569443413
"51",2014-05-10,3.76676665525507
"52",2014-05-12,3.53907535381162
"53",2014-05-14,3.05448223572823
"54",2014-05-15,3.17844171477874
"55",2014-05-19,4.51294412874578
"56",2014-05-22,4.11285934954419
"57",2014-05-26,3.32280405881593
"58",2014-05-28,6.74734316735792
"59",2014-05-30,NA
"60",2014-06-02,3.04909810606906
"61",2014-06-03,4.02145502946458
"62",2014-06-04,1.9761217241757
"63",2014-06-05,3.52660131247805
"64",2014-06-06,3.04417197181439
"65",2014-06-09,2.50248949472075
"66",2014-06-12,2.58502649695838
